time,accx,accy,accz
15,  1246, -6255,-14667
21,  1234, -6269,-14621
28,  1250, -6265,-14628
38,  1239, -6259,-14652
44,  1248, -6261,-14643
51,  1256, -6260,-14653
57,  1249, -6257,-14666
63,  1243, -6251,-14673
69,  1239, -6247,-14688
75,  1240, -6249,-14686
81,  1241, -6246,-14685
87,  1253, -6248,-14689
93,  1256, -6253,-14683
99,  1257, -6259,-14678
105,  1259, -6263,-14675
111,  1258, -6268,-14679
117,  1260, -6271,-14682
123,  1262, -6267,-14689
129,  1296, -6265,-14669
135,  1297, -6264,-14655
141,  1291, -6268,-14654
148,  1289, -6275,-14658
154,  1291, -6275,-14664
161,  1285, -6277,-14672
168,  1282, -6282,-14674
174,  1280, -6291,-14680
183,  1272, -6230,-14668
199,  1268, -6237,-14662
204,  1262, -6245,-14656
210,  1262, -6251,-14661
216,  1262, -6259,-14665
222,  1260, -6266,-14673
228,  1266, -6267,-14676
234,  1269, -6268,-14677
240,  1270, -6270,-14675
246,  1272, -6272,-14677
253,  1270, -6275,-14675
259,  1269, -6274,-14675
265,  1268, -6284,-14676
271,  1265, -6288,-14676
277,  1262, -6285,-14666
283,  1269, -6287,-14667
290,  1274, -6290,-14665
296,  1284, -6293,-14655
302,  1306, -6298,-14625
308,  1290, -6293,-14638
314,  1268, -6276,-14663
320,  1248, -6269,-14682
326,  1236, -6265,-14690
332,  1224, -6259,-14696
339,  1223, -6258,-14686
349,  1228, -6263,-14678
359,  1222, -6262,-14670
369,  1217, -6257,-14677
379,  1205, -6253,-14684
389,  1195, -6242,-14692
399,  1172, -6233,-14704
409,  1166, -6231,-14714
419,  1160, -6231,-14703
429,  1146, -6230,-14705
439,  1148, -6234,-14695
450,  1155, -6232,-14682
459,  1159, -6234,-14674
483,  1165, -6235,-14671
489,  1148, -6228,-14675
495,  1123, -6218,-14704
501,  1067, -6194,-14761
510,  1048, -6197,-14732
519,  1088, -6236,-14687
531,  1120, -6246,-14669
541,  1140, -6247,-14654
550,  1154, -6245,-14654
562,  1150, -6233,-14707
570,  1147, -6221,-14686
580,  1122, -6203,-14694
590,  1067, -6178,-14724
600,  1048, -6175,-14718
609,  1078, -6188,-14707
620,  1113, -6201,-14708
633,  1129, -6208,-14694
639,  1160, -6219,-14659
649,  1169, -6230,-14641
660,  1145, -6206,-14643
670,  1145, -6221,-14529
680,  1222, -6229,-14556
690,  1213, -6230,-14461
699,  1132, -6206,-14518
709,   997, -6154,-14677
720,   825, -6083,-14755
731,   681, -6026,-14870
743,   598, -5986,-14979
750,   570, -5980,-14947
760,   603, -5997,-14878
771,   687, -6030,-14823
780,   766, -6060,-14718
793,   816, -6080,-14636
804,   827, -6085,-14654
810,   789, -6074,-14672
819,   738, -6055,-14710
835,   690, -6037,-14784
841,   667, -6026,-14808
849,   664, -6023,-14790
859,   689, -6031,-14780
870,   720, -6048,-14745
880,   740, -6059,-14693
890,   749, -6065,-14683
901,   742, -6064,-14703
910,   720, -6055,-14716
920,   701, -6046,-14743
930,   687, -6038,-14765
939,   681, -6037,-14752
950,   682, -6037,-14742
961,   698, -6044,-14739
973,   707, -6047,-14712
989,   708, -6050,-14709
995,   703, -6050,-14725
1001,   694, -6043,-14731
1010,   684, -6039,-14736
1020,   681, -6033,-14750
1030,   682, -6032,-14750
1040,   691, -6036,-14748
1050,   699, -6038,-14744
1060,   705, -6036,-14731
1070,   702, -6034,-14721
1080,   703, -6032,-14723
1090,   697, -6032,-14731
1100,   691, -6034,-14736
1110,   688, -6037,-14741
1120,   692, -6038,-14742
1130,   695, -6041,-14733
1140,   700, -6039,-14732
1150,   701, -6038,-14733
1160,   696, -6038,-14732
1171,   694, -6040,-14736
1180,   692, -6039,-14742
1190,   689, -6036,-14740
1200,   683, -6034,-14741
1211,   685, -6037,-14741
1220,   680, -6035,-14737
1230,   683, -6035,-14738
1240,   685, -6036,-14729
1250,   684, -6032,-14729
1261,   681, -6035,-14727
1270,   683, -6034,-14725
1280,   680, -6034,-14726
1290,   682, -6037,-14736
1300,   680, -6036,-14742
1310,   684, -6031,-14739
1320,   685, -6035,-14737
1330,   685, -6037,-14735
1340,   682, -6035,-14740
1350,   674, -6033,-14738
1360,   672, -6031,-14738
1370,   672, -6034,-14744
1381,   677, -6033,-14741
1390,   683, -6033,-14739
1400,   784, -6082,-14610
1410,   562, -5979,-14602
1420,   553, -5962,-14649
1430,   605, -5979,-14712
1440,   593, -5998,-14377
1450,   659, -6019,-14542
1460,   710, -6034,-14656
1470,   687, -6039,-14423
1483,   690, -6038,-14625
1499,   664, -6023,-14775
1509,   587, -5999,-14687
1514,   636, -6022,-14708
1521,   680, -6041,-14771
1536,   693, -6052,-14618
1542,   731, -6068,-14610
1550,   569, -5984,-14743
1560,   508, -5937,-14831
1571,   574, -5964,-14890
1581,   595, -5993,-14768
1590,   561, -5975,-14795
1600,   560, -5973,-14899
1610,   543, -5973,-14766
1620,   615, -5999,-14894
1630,   735, -6049,-14770
1641,   899, -6114,-14658
1650,  1081, -6200,-14535
1660,  1190, -6261,-14428
1671,  1180, -6254,-14430
1680,  1072, -6197,-14533
1691,   962, -6149,-14638
1701,   900, -6129,-14709
1710,   928, -6138,-14777
1725,   956, -6151,-14759
1731,   946, -6144,-14746
1743,   918, -6128,-14764
1751,   967, -6148,-14761
1769,   962, -6149,-14725
1775,   944, -6143,-14653
1783,   925, -6138,-14677
1791,   886, -6112,-14686
1800,   863, -6099,-14696
1811,   837, -6095,-14690
1821,   804, -6076,-14704
1830,   773, -6063,-14719
1843,   755, -6058,-14721
1851,   732, -6056,-14743
1861,   597, -5993,-14759
1871,   607, -5993,-14826
1881,   619, -6008,-14877
1891,   609, -6014,-14738
1901,   606, -6012,-14772
1910,   609, -6008,-14795
1921,   610, -6006,-14746
1931,   625, -5996,-14747
1944,   645, -5992,-14754
1954,   643, -5999,-14758
1962,   630, -6008,-14746
1974,   593, -6010,-14757
1980,   588, -6012,-14750
1992,   595, -6014,-14741
2001,   601, -6017,-14743
2013,   602, -6013,-14732
2023,   610, -6015,-14732
2030,   610, -6012,-14731
2041,   610, -6009,-14728
2051,   605, -6005,-14720
2063,   595, -6018,-14791
2071,   561, -6010,-14774
2080,   545, -5990,-14801
2091,   554, -5990,-14856
2101,   585, -6010,-14801
2110,   666, -6041,-14721
2121,   763, -6075,-14665
2133,   833, -6101,-14579
2141,   849, -6109,-14550
2152,   819, -6098,-14598
2164,   760, -6075,-14656
2171,   530, -5908,-15014
2181,   539, -5950,-14785
2191,   584, -5993,-14737
2202,   659, -6018,-14845
2212,   678, -6029,-14666
2221,   687, -6039,-14636
