time,accx,accy,accz
15,  1117, -3408, -6986
21,  1106, -3416, -6942
28,  1130, -3410, -6950
38,  1128, -3401, -6975
44,  1146, -3401, -6966
51,  1163, -3398, -6977
57,  1165, -3394, -6990
63,  1167, -3386, -6998
69,  1170, -3381, -7013
75,  1178, -3381, -7012
81,  1185, -3376, -7012
87,  1203, -3375, -7017
93,  1213, -3378, -7011
99,  1221, -3382, -7008
105,  1230, -3384, -7005
111,  1235, -3388, -7009
117,  1244, -3389, -7013
123,  1252, -3382, -7021
129,  1292, -3379, -7001
135,  1299, -3377, -6988
141,  1301, -3379, -6988
148,  1307, -3385, -6992
154,  1316, -3385, -6997
161,  1317, -3388, -7006
168,  1321, -3395, -7007
174,  1325, -3405, -7012
183,  1322, -3346, -7000
199,  1324, -3357, -6992
204,  1324, -3367, -6986
210,  1330, -3376, -6989
216,  1336, -3386, -6992
222,  1340, -3396, -7000
228,  1352, -3399, -7002
234,  1360, -3402, -7002
240,  1367, -3407, -6999
246,  1375, -3411, -7000
253,  1378, -3418, -6997
259,  1382, -3419, -6996
265,  1387, -3433, -6996
271,  1388, -3439, -6995
277,  1390, -3440, -6984
283,  1402, -3445, -6984
290,  1412, -3452, -6981
296,  1427, -3458, -6969
302,  1458, -3468, -6938
308,  1458, -3471, -6948
314,  1450, -3463, -6971
320,  1441, -3464, -6986
326,  1439, -3468, -6992
332,  1434, -3468, -6996
339,  1439, -3474, -6984
349,  1450, -3484, -6974
359,  1452, -3491, -6963
369,  1456, -3494, -6967
379,  1454, -3499, -6972
389,  1454, -3496, -6977
399,  1440, -3497, -6986
409,  1439, -3503, -6993
419,  1438, -3510, -6980
429,  1426, -3516, -6979
439,  1428, -3526, -6968
450,  1436, -3530, -6952
459,  1443, -3539, -6942
483,  1454, -3549, -6936
489,  1446, -3551, -6938
495,  1427, -3550, -6963
501,  1372, -3533, -7018
510,  1342, -3539, -6987
519,  1369, -3577, -6942
531,  1394, -3591, -6924
541,  1414, -3596, -6906
550,  1431, -3601, -6905
562,  1433, -3598, -6954
570,  1433, -3594, -6930
580,  1412, -3585, -6936
590,  1358, -3568, -6963
600,  1332, -3567, -6956
609,  1352, -3581, -6944
620,  1379, -3596, -6944
633,  1389, -3606, -6929
639,  1418, -3624, -6892
649,  1434, -3643, -6871
660,  1424, -3631, -6870
670,  1440, -3658, -6753
680,  1552, -3684, -6776
690,  1595, -3713, -6673
699,  1582, -3726, -6723
709,  1516, -3712, -6873
720,  1395, -3676, -6944
731,  1276, -3645, -7053
743,  1191, -3620, -7158
750,  1136, -3618, -7122
760,  1130, -3632, -7051
771,  1179, -3662, -6995
780,  1232, -3692, -6888
793,  1273, -3720, -6804
804,  1289, -3736, -6818
810,  1261, -3739, -6833
819,  1217, -3734, -6867
835,  1168, -3726, -6938
841,  1133, -3722, -6960
849,  1110, -3721, -6939
859,  1113, -3730, -6928
870,  1126, -3748, -6892
880,  1133, -3762, -6839
890,  1136, -3773, -6827
901,  1126, -3777, -6845
910,  1101, -3775, -6856
920,  1075, -3771, -6881
930,  1051, -3766, -6902
939,  1032, -3766, -6888
950,  1018, -3767, -6877
961,  1020, -3774, -6874
973,  1018, -3778, -6845
989,  1011, -3783, -6842
995,  1000, -3785, -6857
1001,   984, -3780, -6862
1010,   967, -3777, -6866
1020,   954, -3772, -6880
1030,   944, -3770, -6879
1040,   940, -3773, -6878
1050,   938, -3774, -6874
1060,   936, -3771, -6861
1070,   925, -3769, -6850
1080,   919, -3766, -6852
