time,gyrx,gyry,gyrz
12,    -7,    24,   105
18,    -6,    29,   106
24,    -5,    30,   105
30,    -5,    31,   108
36,    -5,    31,   111
42,    -5,    30,   108
49,    -5,    31,   107
55,    -4,    31,   106
61,    -4,    31,   106
67,    -4,    30,   106
74,    -4,    29,   106
80,    -4,    29,   107
86,    -4,    30,   107
92,    -2,    29,    90
98,    -4,    32,   101
104,    -5,    34,   115
110,    -4,    32,   111
116,     0,    29,   112
122,    -4,    32,   119
128,    -5,    32,   125
134,    -4,    30,   112
140,    -4,    31,   107
146,    -4,    31,   106
151,    -4,    31,   106
157,    -4,    31,   106
163,    -4,    30,   106
169,    -4,    30,   106
176,    -4,    30,   106
181,    -4,    30,   106
187,    -4,    30,   106
193,    -4,    30,   106
198,    -4,    30,   106
204,    -4,    30,   106
210,    -3,    31,   106
215,    -3,    31,   106
221,    -3,    30,   107
227,    -3,    31,   107
233,    -3,    33,   102
239,     3,    48,   100
245,     3,    48,   105
251,     4,    50,   106
257,    -1,    38,   106
263,    -8,    19,   106
269,   -14,     4,   105
285,   -16,     1,   105
296,    -5,    28,   109
311,    -4,    29,   107
331,    -4,    30,   105
345,    -2,    30,    98
358,    -4,    31,   102
364,    -5,    32,   107
369,    -3,    32,   109
377,    -3,    29,   105
383,    -4,    30,   110
389,    -4,    31,   108
396,    -3,    31,   104
402,    -3,    31,   103
409,    -4,    30,   108
418,    -4,    30,   108
428,    -3,    31,   103
438,    -4,    30,   105
448,    -4,    30,   104
463,    -4,    30,   103
469,    -4,    30,   104
479,    -4,    31,   106
488,    -4,    30,   104
504,    -3,    30,    98
510,    -4,    29,   100
518,    -4,    32,    99
528,    -4,    31,   101
538,    -3,    31,   100
548,    -4,    31,   103
565,    -3,    30,   104
571,    -4,    30,   109
579,    -4,    30,   110
588,    -4,    29,   110
598,    -4,    30,   109
609,    -4,    30,   108
618,    -4,    30,   107
629,    -4,    30,   106
640,    -4,    30,   106
648,    -4,    30,   106
658,    -4,    30,   106
669,    -4,    30,   106
679,    -4,    30,   106
688,    -4,    30,   106
699,    -4,    30,   106
712,    -4,    30,   106
721,    -4,    30,   106
728,    -4,    30,   106
739,    -4,    30,   106
755,    -4,    30,   106
762,    -4,    30,   106
768,    -4,    30,   106
778,    -4,    30,   106
788,    -4,    30,   106
798,    -4,    30,   106
808,    -4,    30,   106
822,    -4,    30,   106
828,    -4,    30,   106
839,    -4,    30,   106
849,    -4,    30,   106
858,    -4,    30,   106
869,    -4,    30,   106
879,    -4,    30,   106
888,    -4,    30,   106
899,    -4,    30,   106
910,    -4,    30,   106
918,    -4,    30,   106
929,    -4,    30,   106
939,    -4,    30,   106
948,    -4,    30,   106
959,    -4,    30,   106
969,    -4,    30,   106
979,    -4,    30,   106
988,    -4,    30,   106
999,    -4,    30,   106
1008,    -4,    30,   106
1018,    -4,    30,   106
1029,    -4,    30,   106
1039,    -4,    30,   106
1049,    -4,    30,   106
1058,    -4,    30,   106
1069,    -4,    30,   106
1079,    -4,    30,   106
1090,    -4,    30,   106
1098,    -4,    30,   106
1108,    -4,    30,   106
1119,    -4,    30,   106
1128,    -4,    30,   106
1139,    -4,    30,   106
1148,    -4,    30,   106
1159,    -4,    30,   106
1171,    -4,    30,   106
1179,    -4,    30,   106
1192,    -4,    30,   106
1205,    -4,    30,   106
1211,    -4,    30,   106
1219,    -4,    30,   106
1228,    -4,    30,   106
1240,    -4,    30,   106
1248,    -4,    30,   106
1258,    -4,    30,   106
1274,    -4,    30,   106
1280,    -4,    30,   106
1289,    -4,    30,   106
1298,    -4,    30,   106
1309,    -4,    30,   106
1319,    -4,    30,   106
1329,    -4,    30,   106
1339,    -4,    30,   106
1349,    -4,    30,   106
1359,    -4,    30,   106
1369,    -4,    30,   106
1379,    -4,    30,   106
1395,    -4,    30,   106
1401,    -4,    30,   106
1408,    -4,    30,   106
1419,    -4,    30,   106
1428,    -4,    30,   106
1439,    -4,    30,   106
1457,    -4,    30,   106
1463,    -4,    30,   106
1470,    -4,    30,   106
1479,    -4,    30,   106
1489,    -4,    30,   106
1498,    -4,    30,   106
1513,    -4,    30,   106
1520,    -4,    30,   106
1530,    -4,    30,   106
1539,    -4,    30,   106
1553,    -4,    30,   106
1559,    -4,    30,   106
1569,    -4,    30,   106
1579,    -4,    30,   106
1589,    -4,    30,   106
1600,    -4,    30,   106
1609,    -4,    30,   106
1624,    -4,    30,   106
1630,    -4,    30,   106
1640,    -4,    30,   106
1649,    -4,    30,   106
1659,    -4,    30,   106
1669,    -4,    30,   106
1680,    -4,    30,   106
1689,    -4,    30,   106
1699,    -4,    30,   106
1710,    -4,    30,   106
1720,    -4,    30,   106
1729,    -4,    30,   106
1739,    -4,    30,   106
1749,    -4,    30,   106
1759,    -4,    30,   106
1769,    -4,    30,   106
1780,    -4,    30,   106
1789,    -4,    30,   106
1799,    -4,    30,   106
1809,    -4,    30,   106
1819,    -4,    30,   106
1829,    -4,    30,   106
1839,    -4,    30,   106
1849,    -4,    30,   106
1859,    -4,    30,   106
1870,    -4,    30,   106
1882,    -4,    30,   106
1896,    -4,    30,   106
1902,    -4,    30,   106
1910,    -4,    30,   106
