time,qw,qx,qy,qz
8,-0.04382,0.20343,0.96344,-0.16858
14,-0.04565,0.21643,0.96057,-0.16821
20,-0.04749,0.22943,0.95752,-0.16785
26,-0.04944,0.24243,0.95428,-0.16742
32,-0.05127,0.25531,0.95093,-0.16699
38,-0.05310,0.26813,0.94739,-0.16638
44,-0.05487,0.28088,0.94366,-0.16583
51,-0.05664,0.29364,0.93976,-0.16528
57,-0.05847,0.30634,0.93573,-0.16473
63,-0.06036,0.31903,0.93146,-0.16418
73,-0.06226,0.33167,0.92700,-0.16364
79,-0.06415,0.34424,0.92236,-0.16315
86,-0.06604,0.35675,0.91754,-0.16260
92,-0.06793,0.36920,0.91254,-0.16205
98,-0.06989,0.38159,0.90741,-0.16144
104,-0.07178,0.39392,0.90210,-0.16077
110,-0.07367,0.40619,0.89661,-0.16010
116,-0.07556,0.41840,0.89093,-0.15936
123,-0.07745,0.43048,0.88513,-0.15857
129,-0.07928,0.44244,0.87921,-0.15771
135,-0.08105,0.45435,0.87311,-0.15680
141,-0.08295,0.46619,0.86688,-0.15588
147,-0.08472,0.47791,0.86047,-0.15491
153,-0.08649,0.48944,0.85394,-0.15387
159,-0.08771,0.50079,0.84741,-0.15295
165,-0.08783,0.51190,0.84088,-0.15216
171,-0.08691,0.52283,0.83429,-0.15167
177,-0.08490,0.53369,0.82758,-0.15192
183,-0.08203,0.54492,0.82050,-0.15192
189,-0.07996,0.55664,0.81293,-0.15106
195,-0.07996,0.56848,0.80505,-0.14929
201,-0.08051,0.57928,0.79767,-0.14716
207,-0.08118,0.58990,0.78998,-0.14581
213,-0.08282,0.60059,0.78204,-0.14417
219,-0.08575,0.61133,0.77368,-0.14221
225,-0.08905,0.62195,0.76520,-0.14020
231,-0.09241,0.63245,0.75653,-0.13806
240,-0.09589,0.64288,0.74762,-0.13593
249,-0.09894,0.65308,0.73871,-0.13391
256,-0.10126,0.66309,0.72974,-0.13214
263,-0.10303,0.67291,0.72076,-0.13055
269,-0.10437,0.68256,0.71167,-0.12909
276,-0.10522,0.69208,0.70258,-0.12781
281,-0.10565,0.70142,0.69342,-0.12646
287,-0.10583,0.71057,0.68420,-0.12524
293,-0.10596,0.71967,0.67480,-0.12396
301,-0.10657,0.72870,0.66522,-0.12250
307,-0.10760,0.73767,0.65546,-0.12085
313,-0.10858,0.74646,0.64551,-0.11938
319,-0.10925,0.75507,0.63562,-0.11804
325,-0.10956,0.76343,0.62561,-0.11682
331,-0.10974,0.77173,0.61554,-0.11566
337,-0.11023,0.77997,0.60529,-0.11426
343,-0.11121,0.78802,0.59485,-0.11255
351,-0.11249,0.79602,0.58429,-0.11066
360,-0.11377,0.80383,0.57355,-0.10870
371,-0.11493,0.81152,0.56281,-0.10687
381,-0.11591,0.81903,0.55194,-0.10504
391,-0.11694,0.82642,0.54095,-0.10321
401,-0.11823,0.83368,0.52979,-0.10120
411,-0.11963,0.84082,0.51855,-0.09900
421,-0.12115,0.84778,0.50714,-0.09674
432,-0.12268,0.85455,0.49567,-0.09436
440,-0.12415,0.86121,0.48413,-0.09204
453,-0.12543,0.86768,0.47247,-0.08984
461,-0.12653,0.87402,0.46082,-0.08777
471,-0.12762,0.88013,0.44904,-0.08575
498,-0.12866,0.88617,0.43719,-0.08368
512,-0.12970,0.89197,0.42523,-0.08160
519,-0.13068,0.89764,0.41327,-0.07953
525,-0.13165,0.90314,0.40118,-0.07739
531,-0.13269,0.90851,0.38898,-0.07520
537,-0.13385,0.91370,0.37665,-0.07275
544,-0.13513,0.91870,0.36426,-0.07025
551,-0.13635,0.92358,0.35181,-0.06775
561,-0.13757,0.92828,0.33923,-0.06525
571,-0.13867,0.93274,0.32666,-0.06287
581,-0.13965,0.93707,0.31403,-0.06049
591,-0.14062,0.94122,0.30139,-0.05817
603,-0.14148,0.94525,0.28870,-0.05597
612,-0.14227,0.94904,0.27594,-0.05365
621,-0.14319,0.95270,0.26306,-0.05121
641,-0.14429,0.95618,0.25006,-0.04846
647,-0.14551,0.95947,0.23700,-0.04541
653,-0.14685,0.96252,0.22382,-0.04224
661,-0.14825,0.96545,0.21063,-0.03900
671,-0.14954,0.96814,0.19739,-0.03595
681,-0.15070,0.97070,0.18420,-0.03314
691,-0.15161,0.97302,0.17096,-0.03052
705,-0.15222,0.97522,0.15784,-0.02832
713,-0.15247,0.97723,0.14478,-0.02649
721,-0.15277,0.97913,0.13159,-0.02472
731,-0.15332,0.98077,0.11835,-0.02246
742,-0.15399,0.98224,0.10504,-0.02020
751,-0.15442,0.98352,0.09186,-0.01831
763,-0.15466,0.98468,0.07867,-0.01678
771,-0.15485,0.98566,0.06543,-0.01514
781,-0.15503,0.98639,0.05225,-0.01349
792,-0.15503,0.98706,0.03906,-0.01202
801,-0.15479,0.98755,0.02594,-0.01080
812,-0.15466,0.98779,0.01276,-0.00934
821,-0.15485,0.98792,-0.00061,-0.00714
831,-0.15527,0.98773,-0.01410,-0.00427
849,-0.15570,0.98737,-0.02759,-0.00116
855,-0.15601,0.98688,-0.04095,0.00146
861,-0.15613,0.98621,-0.05432,0.00391
871,-0.15631,0.98535,-0.06775,0.00653
881,-0.15649,0.98425,-0.08118,0.00928
892,-0.15674,0.98303,-0.09460,0.01227
901,-0.15698,0.98151,-0.10809,0.01550
911,-0.15729,0.97986,-0.12152,0.01886
923,-0.15747,0.97797,-0.13495,0.02197
932,-0.15753,0.97595,-0.14825,0.02484
943,-0.15759,0.97382,-0.16156,0.02753
952,-0.15753,0.97144,-0.17474,0.03009
978,-0.15741,0.96893,-0.18793,0.03247
984,-0.15729,0.96625,-0.20105,0.03479
989,-0.15704,0.96338,-0.21411,0.03699
996,-0.15680,0.96033,-0.22717,0.03918
1002,-0.15656,0.95709,-0.24017,0.04144
1011,-0.15625,0.95374,-0.25311,0.04364
1021,-0.15588,0.95020,-0.26599,0.04584
1031,-0.15552,0.94641,-0.27887,0.04816
1042,-0.15515,0.94244,-0.29169,0.05054
1051,-0.15472,0.93835,-0.30450,0.05298
1062,-0.15424,0.93408,-0.31720,0.05524
1071,-0.15375,0.92969,-0.32977,0.05725
1082,-0.15320,0.92511,-0.34229,0.05890
1093,-0.15265,0.92047,-0.35461,0.06006
1102,-0.15204,0.91571,-0.36688,0.06097
1112,-0.15131,0.91071,-0.37915,0.06219
1122,-0.15063,0.90552,-0.39148,0.06403
1132,-0.14984,0.90002,-0.40381,0.06653
1142,-0.14905,0.89435,-0.41602,0.06934
1153,-0.14825,0.88849,-0.42822,0.07214
1162,-0.14740,0.88251,-0.44031,0.07483
1171,-0.14655,0.87634,-0.45227,0.07727
1181,-0.14575,0.87012,-0.46405,0.07916
1192,-0.14496,0.86383,-0.47571,0.08051
1202,-0.14417,0.85748,-0.48718,0.08130
1212,-0.14343,0.85101,-0.49854,0.08173
1221,-0.14270,0.84436,-0.50983,0.08191
1232,-0.14197,0.83765,-0.52100,0.08215
1241,-0.14105,0.83069,-0.53217,0.08289
1252,-0.14008,0.82355,-0.54327,0.08398
1261,-0.13916,0.81628,-0.55420,0.08453
1272,-0.13843,0.80902,-0.56494,0.08441
1282,-0.13776,0.80170,-0.57556,0.08386
1292,-0.13702,0.79419,-0.58612,0.08356
1302,-0.13605,0.78644,-0.59662,0.08386
1312,-0.13495,0.77850,-0.60706,0.08447
